STATION_ID,OBTAINED_DATE,SURFACE_TEMP,SURFACE_CONDITION
RTOI4,1/19/2019 6:40,19.58,Ice Watch
RTOI4,1/19/2019 6:50,19.76,Ice Watch
RTOI4,1/19/2019 7:00,19.4,Ice Watch
RTOI4,1/19/2019 7:20,19.76,Ice Watch
RTOI4,1/19/2019 7:30,19.94,Ice Watch
RTOI4,1/19/2019 8:10,19.58,Ice Watch
RTOI4,1/19/2019 9:50,19.04,Ice Watch
RTOI4,1/19/2019 10:00,19.04,Ice Watch
RTOI4,1/19/2019 10:10,18.68,Ice Watch
RTOI4,1/19/2019 10:50,18.14,Ice Watch
RTOI4,1/19/2019 11:00,17.96,Ice Watch
RTOI4,1/19/2019 11:10,18.14,Ice Watch
RTOI4,1/19/2019 11:40,18.32,Ice Watch
RTOI4,1/19/2019 12:20,17.96,Ice Watch
RTOI4,1/19/2019 12:30,17.78,Ice Watch
RTOI4,1/19/2019 12:40,17.78,Ice Watch
RTOI4,1/19/2019 12:50,17.6,Ice Watch
RTOI4,1/19/2019 13:00,17.6,Ice Watch
RTOI4,1/19/2019 13:10,17.42,Ice Watch
RTOI4,1/19/2019 13:30,17.06,Ice Watch
RTOI4,1/19/2019 13:40,16.88,Ice Watch
RTOI4,1/19/2019 14:00,16.7,Ice Watch
RTOI4,1/19/2019 14:10,16.52,Ice Watch
RTOI4,1/19/2019 14:20,16.34,Ice Watch
RTOI4,1/19/2019 14:30,16.7,Ice Watch
RTOI4,1/19/2019 14:50,17.42,Ice Watch
RTOI4,1/19/2019 15:00,17.42,Ice Watch
RTOI4,1/20/2019 0:10,14.36,Dry
RTOI4,1/20/2019 1:30,11.84,Dry
RTOI4,1/20/2019 3:40,12.38,Dry
RTOI4,1/20/2019 4:50,10.22,Dry
RTOI4,1/20/2019 5:00,10.04,Dry
RTOI4,1/20/2019 9:30,12.38,Dry
RTOI4,1/20/2019 11:10,13.1,Dry
RTOI4,1/20/2019 13:30,13.1,Dry
RTOI4,1/20/2019 13:40,13.1,Dry
RTOI4,1/20/2019 13:50,13.1,Dry
RTOI4,1/20/2019 14:10,12.74,Ice Watch
RTOI4,1/20/2019 14:20,12.92,Ice Warning
RTOI4,1/20/2019 14:30,13.28,Ice Watch
RTOI4,1/20/2019 14:40,13.64,Ice Warning
RTOI4,1/20/2019 14:50,14.18,Ice Warning
RTOI4,1/20/2019 15:00,14.18,Ice Warning
RTOI4,1/20/2019 15:10,14.54,Ice Watch
RTOI4,1/20/2019 15:20,14.9,Ice Watch
RTOI4,1/20/2019 15:30,14.36,Ice Watch
RTOI4,1/20/2019 15:40,14.9,Ice Warning
RTOI4,1/20/2019 15:50,15.26,Ice Warning
RTOI4,1/20/2019 16:00,15.98,Ice Warning
RTOI4,1/20/2019 16:10,15.98,Ice Warning
RTOI4,1/20/2019 16:20,16.7,Ice Warning
RTOI4,1/20/2019 16:30,16.34,Ice Warning
RTOI4,1/20/2019 16:40,16.52,Ice Warning
RTOI4,1/20/2019 16:50,16.7,Ice Warning
RTOI4,1/20/2019 17:00,17.6,Ice Warning
RTOI4,1/20/2019 17:20,18.5,Ice Warning
RTOI4,1/20/2019 17:40,19.76,Chemically Wet
RTOI4,1/20/2019 18:00,21.02,Ice Warning
RTOI4,1/20/2019 18:10,22.64,Ice Warning
RTOI4,1/20/2019 18:30,23,Ice Warning
RTOI4,1/20/2019 18:40,23.9,Ice Warning
RTOI4,1/20/2019 19:00,23,Chemically Wet
RTOI4,1/20/2019 19:30,26.06,Chemically Wet
RTOI4,1/20/2019 20:40,27.14,Ice Watch
RTOI4,1/20/2019 21:50,19.94,Ice Watch
RTOI4,1/20/2019 22:10,17.78,Ice Watch
RTOI4,1/20/2019 22:30,17.06,Ice Watch
RTOI4,1/20/2019 22:40,16.34,Ice Watch
RTOI4,1/20/2019 22:50,15.62,Ice Watch
RTOI4,1/20/2019 23:00,14.9,Ice Watch
RTOI4,1/20/2019 23:01,14.9,Ice Watch
RTOI4,1/20/2019 23:10,14,Dry
RTOI4,1/20/2019 23:20,13.28,Ice Watch
RTOI4,1/20/2019 23:40,12.38,Dry
RTOI4,1/21/2019 3:00,10.22,Dry
RTOI4,1/21/2019 3:10,10.22,Dry
RTOI4,1/21/2019 3:20,10.22,Dry
RTOI4,1/21/2019 3:30,3.92,Chemically Wet
RTOI4,1/21/2019 3:30,10.22,Dry
RTOI4,1/21/2019 4:00,9.68,Dry
RTOI4,1/21/2019 5:30,9.32,Dry
RTOI4,1/21/2019 6:00,2.66,Ice Warning
RTOI4,1/21/2019 8:30,10.22,Dry
RTOI4,1/21/2019 8:50,10.22,Dry
RTOI4,1/21/2019 9:00,10.22,Dry
RTOI4,1/21/2019 9:10,10.22,Dry
RTOI4,1/21/2019 9:20,10.22,Dry
RTOI4,1/21/2019 9:30,10.22,Dry
RTOI4,1/21/2019 9:50,10.76,Dry
RTOI4,1/21/2019 11:30,11.48,Dry
RTOI4,1/21/2019 13:50,11.66,Dry
RTOI4,1/21/2019 17:00,23.72,Dry
RTOI4,1/21/2019 20:00,28.04,Dry
RTOI4,1/21/2019 21:00,27.14,Dry
RTOI4,1/22/2019 1:50,17.96,Ice Watch
RTOI4,1/22/2019 2:10,18.14,Ice Watch
RTOI4,1/22/2019 2:30,17.96,Ice Watch
RTOI4,1/22/2019 2:40,17.78,Ice Watch
RTOI4,1/22/2019 4:20,19.94,Ice Watch
RTOI4,1/22/2019 4:30,19.94,Ice Watch
RTOI4,1/22/2019 4:40,20.12,Ice Watch
RTOI4,1/22/2019 5:50,20.66,Dry
RTOI4,1/22/2019 12:30,25.52,Ice Watch
RTOI4,1/22/2019 14:20,26.06,Chemically Wet
RTOI4,1/22/2019 14:40,26.24,Chemically Wet
RTOI4,1/22/2019 14:50,26.6,Chemically Wet
RTOI4,1/22/2019 15:40,28.22,Chemically Wet
RTOI4,1/22/2019 16:10,29.3,Chemically Wet
RTOI4,1/22/2019 16:29,30.02,Chemically Wet
RTOI4,1/22/2019 16:30,30.02,Chemically Wet
RTOI4,1/22/2019 21:20,32.36,Wet
RTOI4,1/22/2019 22:00,29.3,Chemically Wet
RTOI4,1/22/2019 22:40,26.42,Chemically Wet
RTOI4,1/23/2019 0:10,23.72,Chemically Wet
RTOI4,1/23/2019 0:20,24.08,Ice Warning
RTOI4,1/23/2019 0:40,24.44,Ice Warning
RTOI4,1/23/2019 1:10,24.44,Ice Warning
RTOI4,1/23/2019 1:50,21.74,Chemically Wet
RTOI4,1/23/2019 2:10,22.1,Chemically Wet
RTOI4,1/23/2019 2:20,22.28,Chemically Wet
RTOI4,1/23/2019 3:00,22.1,Chemically Wet
RTOI4,1/23/2019 3:10,22.28,Ice Warning
RTOI4,1/23/2019 3:30,22.1,Ice Warning
RTOI4,1/23/2019 3:31,22.1,Ice Warning
RTOI4,1/23/2019 3:40,19.94,Chemically Wet
RTOI4,1/23/2019 4:00,20.66,Ice Warning
RTOI4,1/23/2019 4:10,21.38,Ice Warning
RTOI4,1/23/2019 4:50,21.74,Ice Warning
RTOI4,1/23/2019 6:00,21.56,Ice Warning
RTOI4,1/23/2019 7:00,21.92,Ice Warning
RTOI4,1/23/2019 8:50,21.2,Ice Warning
RTOI4,1/23/2019 9:10,20.84,Ice Warning
RTOI4,1/23/2019 9:20,20.48,Ice Warning
RTOI4,1/23/2019 9:30,20.12,Ice Warning
RTOI4,1/23/2019 9:40,19.94,Ice Warning
RTOI4,1/23/2019 9:50,19.76,Ice Warning
RTOI4,1/23/2019 10:00,19.4,Ice Warning
